scope,page_number,metric,cluster_id,position_mean,position_min,position_max,position_range,x0_min,x1_max,token_count,page_count,sample_pages,sample_texts
sample_page,370,x_center,51,615.1605400000001,615.1605400000001,615.1605400000001,0.0,602.7599200000001,627.56116,1,1,370,bekerja
sample_page,370,x_center,52,622.8930399999999,622.8930399999999,622.8930399999999,0.0,610.74376,635.0423199999999,1,1,370,working
sample_page,370,x_center,53,635.49612,635.48344,635.5088000000001,0.02536000000009153,626.86,644.1068799999999,2,1,370,KA17|RM
sample_page,370,x_center,54,639.8807200000001,639.8807200000001,639.8807200000001,0.0,629.98,649.7814400000001,44,1,370,149.20|149.60|150.00|150.70|151.40|152.10|152.80|153.50
sample_page,370,x_center,55,667.8961199999999,667.88344,667.9087999999999,0.025359999999977845,659.26,676.5068799999999,2,1,370,KA18|RM
sample_page,370,x_center,56,672.28072,672.28072,672.28072,0.0,662.38,682.1814400000001,44,1,370,135.85|136.25|136.65|137.05|137.45|137.85|138.25|138.65
sample_page,370,x_center,57,700.29612,700.2834399999999,700.3088,0.02536000000009153,691.66,708.9068799999999,2,1,370,KA19|RM
sample_page,370,x_center,58,704.6807200000001,704.6807200000001,704.6807200000001,0.0,694.78,714.58144,44,1,370,122.55|122.95|123.35|123.75|124.15|124.55|124.95|125.35
sample_page,370,x_center,59,732.6961199999998,732.6834399999999,732.7087999999999,0.025359999999977845,724.06,741.3068799999999,2,1,370,KA20|RM
sample_page,370,x_center,60,737.0807199999999,737.0807199999999,737.0807199999999,0.0,727.18,746.98144,44,1,370,109.20|109.60|110.00|110.40|110.80|111.20|111.60|112.00
sample_page,725,x_center,1,56.52144000000001,56.52144000000001,56.52144000000001,0.0,47.52,65.52288000000001,44,1,725,85836|85841|85846|85851|85856|85861|85866|85871
sample_page,725,x_center,2,59.92944,59.92944,59.92944,0.0,48.12,71.73888,1,1,725,Saraan
sample_page,725,x_center,3,64.88274000000001,64.88274000000001,64.88274000000001,0.0,52.56,77.20548000000001,1,1,725,Monthly
sample_page,725,x_center,4,71.97103551020408,71.34234,72.00880000000001,0.6664600000000149,49.08,93.63444,49,1,725,Total|Remuneration|Bulanan|Jumlah|-|RM
sample_page,725,x_center,5,84.69216,84.68112,84.70320000000001,0.022080000000002542,73.65048,95.71176000000001,2,1,725,Bersih|Net
sample_page,725,x_center,6,89.90544,89.90544,89.90544,0.0,80.904,98.90688,44,1,725,85840|85845|85850|85855|85860|85865|85870|85875
